Actual,Predicted
1490,1119.1
1568,1701.16
1176,1189.42
681,678.1
1582,1582.0
909,909.35
669,637.19
1369,1494.17
943,952.41
405,472.03
960,967.81
508,535.1
408,437.37
1453,1446.18
1054,1426.0
699,784.0
845,879.62
1760,1233.08
590,561.89
1705,1421.19
800,803.435
197,341.17
1289,1478.58
393,179.04
656,646.35
1685,1351.21
1623,964.55
1561,923.3
745,1469.19
1415,1347.283333333333
524,526.33
70,34.72
1008,1077.61
1751,1449.43
917,916.1
475,1000.995
840,707.1
865,933.58
1540,1777.25
565,528.11
40,760.9333333333334
1624,1632.73
1572,1095.94
452,522.2
483,504.31
1135,1254.935
393,384.96
319,1020.84
1736,1639.43
562,569.38
1349,1328.69
116,115.85
1229,1254.26
1502,1171.23
878,877.2
1610,1595.32
1505,1174.845
1727,1174.845
34,36.52
1763,1451.885
1515,1380.99
211,211.0
296,320.36
1186,1387.94
991,1102.0
946,961.28
1018,1018.0
1720,1734.0
1006,1006.0
1058,1068.38
1118,1110.83
882,887.12
859,878.94
1072,979.8
900,904.74
1591,1593.39
804,663.51
1693,1254.06
601,592.74
1568,1576.58
1006,1006.0
300,980.49
47,47.0
614,667.3333333333342
1479,501.615
1474,1479.75
878,878.0
1536,1627.73
602,594.88
866,1020.255
901,1215.26
1466,1386.745
91,1617.45
757,584.1
882,882.0
1415,1093.99
1522,1309.67
701,939.82
1690,1742.09
1156,1211.14
138,171.57
105,139.72
1006,1006.0
34,34.0
840,794.7
928,959.6
614,614.0
918,1003.32
1236,1234.32
585,585.16
294,418.85
1670,1607.4
1535,1405.91
508,503.74
1299,1283.32
1591,1338.55
868,886.04
781,782.79
575,577.83
1685,1407.22
928,952.77
103,1027.96
715,719.88
956,988.22
974,1020.96
1006,1005.73
105,124.64
911,925.84
105,120.8
495,1599.0
200,118.53
367,280.84
618,665.58
27,38.78
906,906.86
982,873.64
840,831.09
500,496.22
618,769.84
452,455.44
1756,1528.815
263,50.16
34,34.0
105,156.41
970,877.99
108,54.0
763,766.86
891,899.92
1551,1491.78
596,588.48
1582,1579.26
1009,987.37
917,917.0
478,420.035
970,879.2
1736,1616.57
1461,1194.615
781,778.58
916,930.03
1220,1192.28
483,951.485
956,956.09
1864,1648.35
960,964.62
865,865.0
1464,1354.715
1510,1160.14
1052,1184.52
1253,1153.49
1727,825.995
1551,1520.68
61,771.425
931,906.0
1284,1297.25
1289,1279.92
916,935.95
1028,1147.44
931,945.64
614,620.08
3,5.45
1664,1218.17
1832,1636.89
3,239.0
105,105.0
882,882.27
87,237.41
1149,1015.56
1256,1276.37
299,669.8
614,614.0
585,651.06
1685,1592.52
239,347.0166666666667
125,1409.94
1458,1487.08
525,714.825
960,957.26
1064,1232.0
614,614.0
585,580.59
579,516.77
102,276.4
34,48.76
30,30.0
964,1062.01
1002,1002.0
947,920.64
105,106.46
1122,991.5
1792,1824.55
1445,452.0
1827,125.135
865,948.19
524,557.31
1151,1311.06
509,551.96
806,786.45
1832,1636.31
585,607.55
105,163.2
1113,1427.77
1832,1686.51
138,232.3
970,933.54
1132,1132.0
1164,1191.99
1285,1157.17
323,320.0
1220,1295.5
361,332.65
33,1503.72
593,801.24
393,387.61
781,908.44
601,671.17
562,541.99
405,404.655
1186,1650.59
1002,1068.5
1599,978.12
913,914.99
47,47.0
1306,1018.61
542,512.95
76,896.83
1006,1004.5
65,82.74
1035,958.41
364,518.23
882,882.0
882,882.99
845,846.42
900,942.57
614,614.0
1000,1145.66
312,275.54
105,104.08
802,826.95
1430,1143.3
542,423.37
673,764.01
59,715.55
618,933.0
1690,1609.29
585,583.88
1527,1040.345
688,801.43
942,906.0
913,913.0
915,979.6
47,47.0
630,623.93
484,600.64
1551,1497.08
1186,1173.94
495,538.06
854,836.37
590,589.85
1663,1660.28
34,86.36
138,267.91
1118,1094.74
24,386.9
507,480.37
1730,1529.11
538,551.52
1479,1442.53
1084,1125.16
960,981.31
105,113.48
913,940.81
923,1150.77
590,587.6
483,1479.0
482,541.32
618,890.1
612,612.0
1394,1394.0
1132,1132.0
860,928.46
845,832.53
928,935.29
932,1080.59
1645,1404.67
918,860.18
1163,1226.23
851,845.8
1831,1673.12
393,393.0
1065,1158.03
1163,1185.95
888,928.87
917,992.24
436,434.63
616,672.74
1861,1753.15
149,174.02
70,34.0
806,806.0
574,644.5
1582,1582.0
896,979.64
746,640.7
840,749.62
913,997.63
882,882.0
921,1036.83
70,44.8
1020,1023.51
555,563.5
190,248.41
807,735.69
632,771.1
1059,1114.47
1098,1293.68
928,940.06
1568,1622.55
34,34.0
1034,959.86
478,741.1
234,510.8
904,885.74
34,34.36
34,34.0
845,824.32
53,45.28
201,144.29
898,906.01
1491,1454.89
1009,1117.5
690,697.17
1260,805.555
678,675.0533333333334
436,436.95
621,583.5
84,617.4
596,578.28
111,248.13
1832,1807.97
666,749.1
906,905.55
614,694.0
268,268.53
900,900.0
603,518.185
960,952.46
228,299.195
960,953.81
334,333.02000000000015
1832,1801.76
281,413.85
970,865.78
520,443.68
1255,1341.4
452,538.345
970,918.56
246,247.97
1284,1332.98
949,879.38
201,165.24
694,614.0
1590,1493.64
1640,1620.58
1354,1303.35
1491,1478.6
917,917.0
361,430.95
885,893.22
610,804.09
393,392.23
1586,445.375
964,1368.55
1844,723.68
47,64.02
1445,1441.285
201,201.0
1006,1006.0
1815,1663.89
865,935.71
105,576.81
27,88.18
1790,1192.19
1861,1712.23
1066,975.68
1804,642.23
442,446.02
123,498.74
799,446.26
868,919.0
1644,872.17
1226,1466.43
414,387.42
1179,1123.27
1074,1223.61
845,864.16
82,1504.23
1491,1398.26
868,918.79
575,532.95
393,322.45
1237,1227.5
24,208.55
1792,1736.91
593,663.96
1699,1654.53
671,662.21
1415,1410.93
1371,1371.0
567,579.69
38,329.92
1324,1307.32
913,927.51
1081,1081.0
1289,1196.54
991,994.24
1520,784.82
1148,1168.86
508,500.62
1853,1853.0
1694,1415.67
1645,830.7
13,906.16
614,614.0
1728,447.08
1223,1343.73
954,894.18
34,34.0
614,670.9066666666665
1658,1763.06
1044,1103.6
806,818.18
1386,1460.9
246,221.72
900,899.96
1453,1453.0
408,450.22
405,405.0
508,510.05
451,458.26
585,556.01
1551,1462.6966666666665
402,787.47
845,845.36
1453,1456.77
1232,1205.42
694,693.47
1048,998.09
1074,1200.66
982,990.82
900,901.65
34,34.0
1821,1491.01
105,609.72
241,291.135
487,572.59
3,305.04
1377,1421.37
54,54.0
34,34.0
1104,1113.0
316,328.96
958,901.26
509,1230.7
1798,1662.78
1234,1310.915
931,925.81
1199,1411.99
906,906.0
1453,1454.84
1453,1453.0
1127,1035.15
1625,1760.28
138,256.6
900,942.02
1009,1009.0
585,578.89
382,382.0
1233,1179.48
1764,1611.07
1365,1303.65
230,621.475
316,310.13
845,920.48
982,950.71
702,700.2766666666665
1009,1012.36
905,988.54
57,760.05
984,1008.41
27,46.48
1831,1015.51
1409,952.22
614,613.28
34,34.0
1811,1016.495
614,621.9983333333333
960,946.28
860,862.2
1453,1450.82
585,585.0
898,898.55
452,648.38
991,993.54
485,1014.11
1123,927.825
647,699.675
408,408.0
916,998.54
669,677.9
859,858.1
316,316.77
956,993.99
405,405.0
176,1493.56
669,677.59
295,165.84
34,34.0
272,665.425
1006,1010.0
